"nazwisko imię","","życie do 1939 roku","1 wrz","1 września 1939 cd","2 wrz","3-6 wrz 1939","7 wrz","1939-1945","po wojnie","","","","","","","","","","","","","","","","","","",""
"Aniołek Eugeniusz","","","","ordynans dowódcy, Willa Oficerska, W5","","","","","","","","","","","","","","","","","","","","","","","",""
"Bacharz Wacław","","","Przystań","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bałtowski Stanisław","","działonowy","moździerz","koszary","","","","","","","","","","","","","","","","","","","","","","","",""
"Baran Władysław","","Bronocice: 50.33999, 20.36206","Prom","osłaniał odwrót Promu, jako ostatni się wycofał","","W3","","","","","","","","","","","","","","","","","","","","","",""
"Barański Piotr","","","W2","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bartocha Stanisław","","","koszary, moździerze, W6","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bartoszak Franciszek","","","Łazienki","","","","","","Gdańsk, przewodnik po Wartowni nr 1","","","","","","","","","","","","","","","","","","",""
"Bartulewicz Alfons","18 sierpnia 1916","","W3","ranny","","","","Stalag I A, Żelów (praca u zegarmistrza)","","","","","","","","","","","","","","","","","","","",""
"?Bełdowski Stanisław","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Białous Wiktor","","","Prom","wzmocnił Prom z Pająkiem","","","","","Przesłuchiwany przez UB","","","","","","","","","","","","","","","","","","",""
"Bieniasz Józef","","Urodził się w mieście Łańcut (Sonina: 50.06368, 22.26860)","moździerz","ranny w pierś","","","","szpital, Stalag I A","pracownik umysłowy w mieście Jarosław. Pochowany: Jarosław, Stary Cmentarz – Stary (ul. Cmentarna). Sektor 23, rząd 7, nr grobu 11.","","","","","","","","","","","","","","","","","","",""
"Blukis Michał","","","Elektrownia, W4, koszary","","odprowadzał rannego Misztalskiego do koszar","","","","","","","","","","","","","","","","","","","","","","",""
"Buder Piotr","","","dowódca W1","","","","","Stalag I A","miejsce zamieszkania Warszawa, zmarł podczas zjazdu w Gdańsku w hotelu","02.09.1957","","","","","","","","","","","","","","","","","",""
"?Skrajny Mikołaj","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cholewa Mieczysław","","","działko 37, tor kolejowy","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chrul Henryk","","","Łazienki","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chrzan Władysław","","Komorowo","","koszary W6","","","","Stalag 1 A, kopalnia rudy żalaza od 1942","Bierzwnik, pochowany w mieście:  Choszczno (woj. zachodniopomorskie). Cmentarz Komunalny (ul. Wolności 26), kwatera K, rząd 1 nr grobu 11.","","","","","","","","","","","","","","","","","","",""
"Chriczanowicz Jan","","","Prom","wycofał się do W1","","","","","Przesłuchiwany przez UB, Morąg","","","","","","","","","","","","","","","","","","",""
"Cichowski Franciszek","","","W2","taśmowy CKM","","","","","","","","","","","","","","","","","","","","","","","",""
"Ciepłucha Wacław","","ur. Stralsund: 54.3095, 13.0779","","moździerze, ranny w oko (stracił oko), koszary","","","","","Pracował we wsi Ciepłucha: 53.98692, 20.39801. tam też pochowany","","","","","","","","","","","","","","","","","","",""
"Ciereszko Wiktor","","","Prom","W5","","","","","Gdańsk, przewodnik po Wartowni nr 1","","","","","","","","","","","","","","","","","","",""
"Cieśliński Jan","","","koszary, moździerze","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czaja Aleksander","","","koszary","radiotelegrafista, zmobilizowany pracownik cywilny","","","","","","","","","","","","","","","","","","","","","","","",""
"Czajko Stanisław","","","W2","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czywil Jan","","","Koszary, Prom, W1","wzmocnił Prom - LKM","","","W1, trafiony pociskiem w szczękę i szyję","zmarł w szpitalu 7.09.1939 roku o 21:35","Westerplatte grób symboliczny; druga informacja: Po wojnie odnaleziono grób Rasińskiego na cmentarzu na Zaspie, gdzie oprócz niego spoczywa właśnie Jan Czywil – raniony , zmarły w wyniku ran","","","","","","","","","","","","","","","","","","",""
"Dąbrowski Franciszek","17.04.1904","ur. Budapeszt","Koszary","","","","","Prabuty, Lienz, Saltzburg, Dobiegniew: 52.96605, 15.75491, Kamińsk: 54.32017, 20.45259","Kraków, Gdańsk Nowy Port, Otwock, zmarł w mieście Kraków","","","","","","","","","","","","","","","","","","",""
"Deik Władysław","","ur. Smołdzino: 54.35604, 18.30202","Deik","pracownik cywilny","Był w 2 grupie ratowniczej W5","Tor kolejowy","","Sprzątał półwysep bo znał niemiecki, Westerplatte obóz, Stutthof","","","","","","","","","","","","","","","","","","","",""
